priority,complexity,task_type,assignee_load,project_velocity,team_size,days_in_backlog,inventory_blocked,inventory_delay_days,num_dependencies,dependency_delay,day_of_week,sprint_day,team_type,actual_days_to_complete
2,13.0,0,14.0,20.74,8,1,0,0.0,4,5.12,2,1,structured,22.7
2,13.0,0,3.0,13.21,10,8,0,0.0,4,7.31,1,7,chaotic,11.6
2,3.0,0,7.0,3.11,5,2,0,0.0,4,7.27,2,0,structured,10.7
1,3.0,2,5.0,16.8,9,4,0,0.0,5,9.73,0,6,structured,12.6
2,2.0,1,6.0,29.39,7,0,0,0.0,4,7.88,4,7,structured,8.9
1,3.0,2,5.0,19.31,9,8,0,0.0,5,9.93,2,5,structured,14.4
0,3.0,2,5.0,20.83,7,2,0,0.0,1,1.01,1,5,structured,3.5
0,5.0,1,10.0,22.19,3,7,1,28.0,3,3.88,0,1,structured,34.3
2,13.0,1,6.0,5.45,12,8,0,0.0,1,1.6,1,3,structured,85.64677917866972
1,3.0,0,2.0,15.8,8,6,0,0.0,1,1.31,0,5,structured,2.8
1,3.0,1,6.0,25.0,4,42,0,0.0,1,0.66,4,8,structured,29.5
2,2.0,0,15.0,5.75,5,13,0,0.0,5,6.56,1,2,structured,18.1
1,2.0,0,8.0,16.19,9,12,0,0.0,4,7.28,4,8,chaotic,23.7
2,2.0,3,0.0,18.04,13,2,1,17.0,1,0.55,4,9,structured,26.3
1,2.0,0,9.0,22.6,5,16,0,0.0,3,2.87,0,5,structured,4.7
1,13.0,0,15.0,16.35,13,11,0,0.0,4,4.27,2,4,chaotic,21.3
1,1.0,3,3.0,26.25,13,23,0,0.0,4,10.93,3,7,structured,10.3
2,8.0,1,1.0,24.63,2,3,0,0.0,5,8.69,1,7,structured,28.3
1,1.0,1,3.0,18.2,3,0,0,0.0,4,10.87,4,6,structured,18.2
0,3.0,0,5.0,5.37,12,9,0,0.0,5,8.5,3,5,structured,18.6
1,2.0,1,14.0,23.01,9,2,1,27.0,4,9.46,3,6,chaotic,61.7
3,13.0,3,8.0,7.52,3,2,1,25.0,3,5.35,3,8,structured,44.2
3,3.0,1,5.0,21.71,15,1,0,0.0,0,0.0,0,3,structured,8.16391591858866
2,3.0,1,4.0,13.88,2,14,0,0.0,5,15.02,4,4,structured,30.4
1,3.0,1,8.0,24.28,7,3,1,12.0,2,4.47,0,5,structured,21.7
3,8.0,1,8.0,4.24,2,8,0,0.0,0,0.0,4,5,structured,20.426365397008567
2,8.0,1,1.0,7.13,14,3,0,0.0,2,3.68,3,1,structured,11.6
2,1.0,0,8.0,4.98,8,14,0,0.0,0,0.0,3,4,structured,3.5
1,2.0,0,9.0,21.01,10,0,0,0.0,1,0.7,4,7,structured,5.8
1,5.0,1,1.0,3.37,13,5,0,0.0,4,6.86,2,9,chaotic,12.9
0,3.0,2,0.0,16.34,5,4,0,0.0,4,9.63,2,0,chaotic,11.0
3,5.0,3,8.0,22.76,6,16,1,26.0,5,9.88,3,1,structured,288.6400246228668
1,2.0,2,4.0,2.27,10,49,0,0.0,1,1.97,1,4,structured,6.1
1,2.0,1,3.0,16.24,14,4,0,0.0,0,0.0,0,3,structured,3.4
1,8.0,2,5.0,4.78,4,8,0,0.0,1,0.74,4,8,structured,9.4
2,8.0,3,1.0,11.15,7,6,1,15.0,2,1.52,3,5,chaotic,42.1
1,1.0,0,2.0,5.9,5,2,0,0.0,1,0.82,2,4,structured,2.9
3,13.0,1,0.0,1.0,4,16,0,0.0,5,10.62,1,0,structured,141.0720114822434
2,5.0,0,8.0,6.52,4,5,0,0.0,4,11.82,3,0,structured,14.8
2,3.0,3,7.0,13.38,8,6,0,0.0,5,16.06,3,8,structured,104.8
1,2.0,3,4.0,7.45,3,2,0,0.0,3,6.86,2,5,chaotic,9.2
2,8.0,2,14.0,7.48,10,3,0,0.0,2,2.13,2,8,structured,9.0
2,5.0,0,4.0,22.39,4,1,0,0.0,1,1.99,4,4,structured,7.7
2,3.0,3,0.0,19.08,9,11,0,0.0,5,15.46,1,2,chaotic,16.6
0,3.0,0,1.0,1.17,5,6,0,0.0,0,0.0,0,6,structured,4.5
1,1.0,0,11.0,14.07,8,10,0,0.0,2,1.29,3,9,chaotic,6.4
0,8.0,1,8.0,2.83,4,5,0,0.0,0,0.0,1,1,structured,16.2
1,2.0,2,4.0,19.47,4,1,0,0.0,2,3.02,4,6,structured,6.0
1,2.0,2,8.0,17.57,6,3,0,0.0,5,7.67,2,2,structured,8.8
1,3.0,1,3.0,9.03,11,2,0,0.0,3,5.92,2,5,structured,13.9
1,3.0,1,6.0,3.96,7,6,0,0.0,0,0.0,1,5,structured,6.8
2,5.0,1,11.0,21.25,6,0,0,0.0,1,1.97,4,3,structured,9.5
1,3.0,0,10.0,18.17,10,12,0,0.0,0,0.0,3,3,chaotic,4.7
3,13.0,2,11.0,5.61,15,6,1,9.0,3,2.27,4,5,structured,16.6
2,8.0,1,0.0,26.42,13,0,0,0.0,2,1.42,2,5,structured,7.8
1,5.0,0,8.0,3.64,7,1,0,0.0,1,0.74,1,2,structured,5.7
2,3.0,1,12.0,13.16,9,0,1,14.0,4,5.32,2,3,structured,32.5
0,2.0,2,3.0,22.25,5,42,0,0.0,3,6.28,3,0,structured,10.8
3,5.0,2,9.0,7.19,12,23,0,0.0,4,9.19,0,3,structured,12.3
1,1.0,0,0.0,5.55,14,8,0,0.0,4,10.7,4,7,structured,14.7
2,3.0,0,14.0,23.44,14,4,0,0.0,1,0.51,2,8,structured,6.3
0,2.0,3,11.0,19.47,4,10,0,0.0,5,12.3,0,9,chaotic,43.5
1,2.0,1,9.0,6.84,12,9,0,0.0,0,0.0,3,5,chaotic,25.797391257030366
1,3.0,1,9.0,3.48,4,18,0,0.0,0,0.0,3,0,structured,6.6
3,3.0,0,10.0,19.7,2,23,0,0.0,0,0.0,0,0,structured,3.7
2,3.0,3,6.0,4.69,12,1,0,0.0,4,4.36,1,5,structured,5.4
1,3.0,2,15.0,1.83,7,12,1,11.0,0,0.0,0,1,structured,10.2
1,3.0,0,3.0,21.13,6,2,0,0.0,5,9.81,1,2,structured,12.0
1,2.0,0,12.0,22.57,9,0,0,0.0,4,8.83,0,3,structured,27.8
2,3.0,0,12.0,18.54,7,3,1,14.0,4,8.04,0,3,structured,42.0
1,5.0,0,13.0,5.87,5,2,0,0.0,1,1.68,4,6,chaotic,9.8
0,1.0,0,1.0,19.2,8,3,1,26.0,1,0.85,1,2,chaotic,30.5
2,5.0,0,7.0,23.95,2,4,1,10.0,1,1.01,3,6,chaotic,11.0
3,3.0,0,10.0,21.15,12,0,0,0.0,4,8.38,4,0,chaotic,15.2
1,3.0,1,9.0,16.37,15,17,0,0.0,1,1.08,3,7,structured,27.4
2,8.0,1,11.0,3.67,10,5,0,0.0,4,10.09,0,9,structured,45.9
1,3.0,1,10.0,26.33,10,16,0,0.0,2,1.28,4,1,structured,6.6
2,13.0,2,3.0,21.75,12,8,0,0.0,1,1.66,1,5,structured,9.8
1,5.0,0,13.0,1.67,8,1,0,0.0,2,4.24,3,8,structured,7.4
2,3.0,2,7.0,23.7,15,0,0,0.0,5,12.57,4,5,chaotic,13.6
2,3.0,3,15.0,15.28,6,3,0,0.0,1,1.32,0,8,structured,7.8
2,3.0,3,8.0,2.59,11,0,0,0.0,1,0.87,0,5,structured,8.5
1,2.0,0,8.0,6.34,5,1,0,0.0,4,4.36,4,0,structured,11.1
3,5.0,0,9.0,5.05,5,3,0,0.0,5,14.9,3,0,structured,19.0
1,3.0,1,13.0,26.1,8,8,0,0.0,1,2.0,4,7,structured,10.6
0,2.0,0,8.0,17.58,12,5,0,0.0,2,1.84,4,3,structured,9.1
2,3.0,0,9.0,15.62,7,15,1,11.0,4,6.51,0,8,structured,19.6
1,3.0,0,8.0,3.76,13,16,0,0.0,0,0.0,4,9,structured,6.8
2,8.0,1,0.0,8.86,7,47,0,0.0,1,0.81,0,1,structured,10.5
2,13.0,2,1.0,18.9,8,3,1,25.0,4,9.43,4,5,structured,54.9
1,2.0,0,11.0,5.09,9,7,0,0.0,1,1.9,3,6,structured,6.4
3,5.0,3,5.0,3.02,11,3,1,3.0,3,4.58,4,3,structured,33.176220788730696
1,8.0,2,6.0,7.49,8,13,0,0.0,2,4.34,4,8,structured,10.8
2,8.0,0,10.0,11.27,8,1,0,0.0,4,10.98,1,2,chaotic,18.6
1,3.0,1,3.0,17.43,2,0,0,0.0,2,3.77,2,2,structured,9.7
3,5.0,0,5.0,20.37,3,2,0,0.0,1,1.67,4,2,structured,49.56139959688069
1,3.0,3,0.0,5.27,3,0,1,3.0,1,0.63,3,1,chaotic,6.6
0,5.0,2,12.0,5.52,12,13,1,16.0,0,0.0,2,8,structured,20.5
1,3.0,1,8.0,21.65,7,8,0,0.0,0,0.0,3,8,structured,5.6
3,5.0,1,3.0,20.18,8,8,1,23.0,1,1.59,0,6,structured,19.1
3,5.0,0,9.0,5.92,9,10,0,0.0,5,15.67,3,2,structured,30.7784512909513
2,5.0,3,2.0,20.69,6,5,0,0.0,2,2.28,4,3,chaotic,11.5
3,3.0,3,12.0,14.76,3,16,0,0.0,5,9.89,2,1,chaotic,37.32211895217902
3,8.0,2,3.0,6.48,8,5,0,0.0,0,0.0,0,8,chaotic,13.363551517409546
2,3.0,1,4.0,6.52,6,28,0,0.0,5,6.36,0,5,chaotic,16.0
1,1.0,0,14.0,20.44,10,15,0,0.0,3,2.2,0,0,structured,6.4
2,5.0,0,8.0,20.31,10,4,0,0.0,2,4.05,2,9,structured,7.8
2,13.0,0,10.0,2.48,12,1,0,0.0,3,7.66,0,7,structured,21.8
1,2.0,1,9.0,21.17,9,1,1,9.0,5,7.31,4,6,chaotic,24.7
0,2.0,2,8.0,6.38,14,2,0,0.0,1,1.51,1,5,structured,6.1
2,5.0,3,3.0,12.9,15,4,0,0.0,1,1.42,2,0,structured,10.1
1,5.0,0,4.0,22.77,11,0,0,0.0,4,5.98,2,8,structured,10.7
3,8.0,0,15.0,23.43,15,3,1,15.0,0,0.0,3,0,structured,87.3
1,5.0,0,14.0,16.96,15,3,0,0.0,3,7.53,1,8,structured,75.72047401182398
1,3.0,3,11.0,22.0,13,2,0,0.0,3,4.57,4,0,chaotic,10.3
2,13.0,2,14.0,2.7,4,0,0,0.0,3,8.32,4,3,structured,14.9
1,8.0,1,12.0,24.28,11,5,1,29.0,2,4.3,3,9,structured,30.6
1,3.0,1,6.0,7.58,4,33,0,0.0,4,10.62,4,0,structured,17.5
2,5.0,1,11.0,3.31,6,1,0,0.0,5,6.7,3,4,structured,32.5
3,3.0,0,12.0,12.44,13,1,1,17.0,3,4.68,1,8,structured,54.146000150242386
1,2.0,0,2.0,18.45,9,10,0,0.0,4,4.14,3,0,structured,5.4
1,2.0,0,14.0,13.93,10,0,1,9.0,0,0.0,2,8,structured,13.1
2,1.0,0,7.0,25.48,7,0,0,0.0,0,0.0,3,2,chaotic,2.1
3,13.0,1,8.0,6.95,14,5,1,16.0,3,6.04,4,1,structured,227.78323117546273
2,3.0,1,7.0,15.29,6,3,1,9.0,4,6.08,0,9,structured,26.6
1,3.0,2,5.0,6.45,11,5,0,0.0,1,0.94,0,5,chaotic,5.7
0,2.0,1,5.0,1.01,12,19,1,19.0,4,4.98,4,5,structured,43.5
1,3.0,1,8.0,16.33,2,23,0,0.0,4,4.04,1,3,chaotic,9.4
1,2.0,3,8.0,13.04,13,10,0,0.0,3,3.15,2,8,chaotic,10.2
2,3.0,1,6.0,12.37,11,4,0,0.0,3,4.38,1,7,structured,63.417939794938924
1,3.0,1,3.0,24.38,4,55,0,0.0,1,1.14,4,7,structured,8.7
2,3.0,0,12.0,20.09,4,0,0,0.0,3,4.48,1,8,structured,8.3
2,5.0,2,4.0,2.95,2,40,1,22.0,0,0.0,0,3,structured,23.4
2,13.0,1,8.0,2.93,8,8,0,0.0,3,3.84,0,6,chaotic,36.6
1,3.0,0,4.0,8.26,2,4,0,0.0,5,9.45,1,1,structured,94.47871449743515
2,5.0,0,3.0,4.3,11,16,0,0.0,1,0.63,4,9,chaotic,7.2
2,3.0,2,4.0,16.51,3,5,0,0.0,4,3.49,4,3,structured,7.4
2,2.0,1,5.0,22.91,11,17,0,0.0,3,7.05,0,0,structured,10.1
1,5.0,1,15.0,10.65,12,17,1,14.0,3,3.34,4,2,structured,27.0
1,3.0,1,10.0,23.27,7,9,1,12.0,4,5.79,1,3,chaotic,27.9
3,5.0,1,11.0,26.97,6,7,0,0.0,3,2.71,0,0,chaotic,7.5
1,5.0,1,0.0,9.4,11,19,0,0.0,2,1.91,0,3,chaotic,8.3
1,2.0,0,0.0,18.08,14,2,0,0.0,0,0.0,1,4,structured,1.7
1,5.0,1,5.0,6.21,15,51,0,0.0,2,4.64,1,2,structured,14.5
2,3.0,1,14.0,22.37,10,21,0,0.0,3,4.66,3,7,structured,7.2
3,3.0,2,0.0,7.18,5,17,0,0.0,5,6.64,0,3,chaotic,34.3
1,2.0,1,12.0,1.0,6,13,1,11.0,5,12.5,2,9,chaotic,50.5
3,2.0,1,13.0,16.91,3,20,0,0.0,4,4.89,0,1,chaotic,39.368365716568476
0,3.0,3,4.0,16.58,2,11,1,10.0,4,9.22,3,7,chaotic,18.9
2,3.0,2,1.0,4.88,3,2,0,0.0,0,0.0,3,5,chaotic,3.2
2,13.0,0,2.0,16.92,12,10,1,20.0,3,7.09,3,8,chaotic,48.3
1,3.0,3,1.0,1.64,8,23,0,0.0,1,0.88,2,3,structured,23.1
1,2.0,0,13.0,17.4,9,6,0,0.0,2,2.42,2,8,structured,5.3
1,2.0,2,12.0,19.21,6,14,0,0.0,5,7.11,1,5,structured,21.5
3,13.0,0,10.0,7.78,2,27,0,0.0,1,1.46,4,2,structured,11.7
2,5.0,1,1.0,22.47,8,5,0,0.0,4,11.91,4,4,chaotic,15.9
3,8.0,3,15.0,14.12,8,6,0,0.0,0,0.0,0,1,structured,26.047623626164864
2,3.0,0,8.0,2.36,3,3,0,0.0,1,1.01,4,0,structured,7.0
1,8.0,2,13.0,18.94,11,6,1,14.0,2,3.37,2,4,structured,22.6
2,5.0,1,6.0,9.76,5,19,1,29.0,2,2.54,3,5,structured,43.3
0,3.0,0,3.0,13.23,9,0,1,25.0,1,0.67,3,7,structured,20.3
1,2.0,3,13.0,22.45,6,26,0,0.0,1,1.24,1,5,chaotic,7.7
2,2.0,1,0.0,6.58,3,10,0,0.0,2,3.4,4,2,chaotic,13.5
2,13.0,2,2.0,5.87,15,13,1,13.0,3,4.79,4,8,chaotic,43.2
1,13.0,2,2.0,6.15,10,3,0,0.0,3,6.87,2,9,structured,14.1
2,3.0,0,1.0,20.26,6,9,0,0.0,0,0.0,1,2,structured,6.8
2,13.0,0,8.0,25.55,5,4,0,0.0,3,4.96,4,6,structured,17.6
3,3.0,1,3.0,21.86,2,5,0,0.0,1,1.92,2,7,structured,8.422404350358274
2,3.0,1,8.0,18.92,12,3,0,0.0,3,5.76,1,0,structured,11.7
1,1.0,0,14.0,5.05,6,7,0,0.0,0,0.0,3,8,structured,3.1
1,2.0,1,2.0,21.33,5,14,1,16.0,0,0.0,0,7,structured,25.3
1,1.0,2,13.0,4.7,15,12,0,0.0,5,4.32,3,6,structured,11.4
2,5.0,0,0.0,5.49,15,11,0,0.0,0,0.0,3,1,chaotic,12.2
3,2.0,2,4.0,8.87,7,7,0,0.0,1,1.62,2,1,structured,4.0
1,3.0,1,10.0,7.29,10,3,0,0.0,1,0.83,2,5,chaotic,5.6
1,5.0,0,3.0,7.09,13,0,0,0.0,3,6.89,2,4,chaotic,10.9
1,3.0,0,1.0,18.4,10,24,0,0.0,2,3.73,1,0,chaotic,7.4
2,3.0,0,2.0,25.3,5,1,0,0.0,1,0.58,4,4,structured,4.7
2,8.0,1,10.0,18.1,12,13,0,0.0,3,3.75,2,1,structured,16.7
1,2.0,0,3.0,5.49,3,1,0,0.0,0,0.0,2,2,structured,3.6
0,5.0,2,3.0,5.4,9,1,0,0.0,3,2.14,3,5,structured,7.8
2,5.0,2,3.0,7.26,8,6,0,0.0,0,0.0,3,3,chaotic,4.8
1,2.0,0,14.0,1.75,10,6,0,0.0,2,4.25,2,0,structured,9.0
2,2.0,2,14.0,20.3,11,5,0,0.0,0,0.0,1,7,structured,13.045106183383675
1,5.0,3,12.0,8.99,2,8,0,0.0,1,1.33,2,0,structured,12.0
1,8.0,0,0.0,21.89,13,40,0,0.0,3,3.67,3,3,structured,8.6
3,8.0,3,8.0,7.5,6,10,0,0.0,0,0.0,1,0,structured,9.1
1,8.0,0,14.0,20.43,5,0,1,17.0,3,2.44,0,2,chaotic,32.9
1,8.0,1,8.0,3.81,9,17,1,4.0,1,1.34,0,8,structured,10.6
1,1.0,0,0.0,3.5,15,6,0,0.0,1,1.82,1,7,chaotic,3.6
1,3.0,2,3.0,3.52,13,5,0,0.0,2,1.79,3,5,chaotic,9.8
0,2.0,2,13.0,14.28,8,44,0,0.0,5,6.97,2,3,chaotic,15.8
0,2.0,3,14.0,19.46,10,0,0,0.0,4,4.39,1,3,structured,40.7
1,1.0,3,6.0,13.92,9,11,0,0.0,2,3.53,3,4,structured,6.3
0,13.0,0,2.0,5.87,11,14,0,0.0,1,1.64,3,5,structured,18.8
2,8.0,1,1.0,12.27,14,1,0,0.0,4,10.68,0,0,chaotic,20.4
2,3.0,0,3.0,19.94,3,2,0,0.0,3,3.57,4,4,structured,24.8
1,2.0,0,12.0,21.44,7,9,0,0.0,3,6.47,0,7,chaotic,7.9
1,3.0,0,8.0,15.47,9,1,0,0.0,5,9.52,3,4,chaotic,20.2
2,8.0,3,4.0,16.0,12,9,0,0.0,1,1.98,0,0,structured,8.9
3,13.0,1,15.0,21.07,3,15,1,27.0,5,12.59,1,4,structured,64.2
3,3.0,0,14.0,18.83,9,2,0,0.0,0,0.0,1,5,structured,4.6
0,2.0,3,15.0,23.93,12,10,0,0.0,4,5.8,0,6,structured,14.2
1,3.0,2,12.0,3.57,3,22,0,0.0,1,1.52,1,7,structured,6.5
1,2.0,1,9.0,2.85,4,3,0,0.0,0,0.0,1,1,structured,6.1
1,3.0,1,15.0,3.51,2,12,0,0.0,4,6.6,3,1,structured,22.8
2,2.0,2,11.0,2.1,13,8,0,0.0,3,3.95,2,5,chaotic,8.9
1,1.0,1,13.0,14.06,15,7,0,0.0,4,5.36,4,3,structured,20.2
0,2.0,1,6.0,22.46,8,14,0,0.0,0,0.0,4,9,structured,6.8
1,8.0,1,3.0,25.25,14,4,1,15.0,1,0.63,1,9,structured,18.0
2,3.0,0,9.0,18.92,10,6,0,0.0,2,2.58,2,5,chaotic,36.9
1,2.0,1,6.0,12.98,15,4,0,0.0,5,6.03,3,4,chaotic,10.0
2,8.0,1,5.0,1.27,3,8,1,26.0,5,6.73,1,5,structured,38.0
0,8.0,0,11.0,4.2,11,11,0,0.0,5,6.86,2,5,structured,20.4
3,5.0,0,8.0,19.1,12,9,1,30.0,4,4.6,1,9,chaotic,87.54123086903881
0,1.0,1,5.0,15.98,11,10,0,0.0,1,1.25,1,8,structured,5.2
2,8.0,1,3.0,23.65,8,2,0,0.0,4,9.06,0,0,chaotic,18.2
3,5.0,1,8.0,12.46,4,10,0,0.0,1,1.81,3,8,chaotic,9.2
3,8.0,0,5.0,6.14,4,0,1,24.0,2,3.17,2,2,chaotic,165.0
2,3.0,3,3.0,27.47,10,19,0,0.0,5,4.69,3,3,structured,21.0
2,1.0,0,3.0,13.69,10,0,0,0.0,1,0.99,0,4,structured,2.3
2,3.0,1,10.0,22.8,8,2,0,0.0,5,10.5,4,8,structured,21.5
2,8.0,0,6.0,24.89,2,18,0,0.0,4,9.55,4,9,structured,16.9
1,2.0,2,5.0,7.07,7,3,0,0.0,2,2.07,1,3,structured,5.8
2,3.0,1,8.0,4.18,14,0,0,0.0,1,1.63,4,6,chaotic,4.8
2,5.0,1,0.0,4.96,11,9,0,0.0,5,12.98,0,8,structured,24.6
3,8.0,2,11.0,24.96,12,0,0,0.0,5,13.15,2,9,chaotic,21.9
1,3.0,2,15.0,19.71,3,4,0,0.0,5,12.14,4,7,structured,29.5
1,3.0,1,5.0,14.27,8,6,0,0.0,1,0.85,2,9,structured,5.0
2,8.0,1,13.0,19.53,9,5,0,0.0,5,11.18,4,5,structured,28.4
1,2.0,3,9.0,5.69,12,2,0,0.0,2,2.25,1,0,structured,11.5
1,3.0,3,4.0,13.13,12,1,0,0.0,4,11.36,1,6,structured,27.8
1,5.0,2,9.0,2.0,3,8,0,0.0,3,2.41,3,6,structured,8.8
1,2.0,2,2.0,18.31,13,17,1,3.0,2,3.73,0,5,chaotic,6.3
1,1.0,2,5.0,7.91,2,14,0,0.0,2,4.45,1,2,structured,5.2
1,3.0,3,11.0,19.25,8,25,0,0.0,3,4.18,3,1,chaotic,6.6
